Symbol,% GC
ZFY,37.27
DDX3Y,37.7
SERTAD4,43.14
UTY,37.54
HHAT,42.29
TMSB4Y,42.71
VCY,61.97
DAZ3,36.06
DAZ1,35.94
AMELY,41.49
TBL1Y,43.32
H3-4,63.41
H2AC25,57.65
H2BC26,52.96
RNF187,55.49
DAZ2,35.43
RHOU,45.48
RBMY1E,36.96
NLGN4Y,38.63
VCY1B,61.89
RPS4Y2,42.67
PCDH11Y,35.66
CDY1B,41.35
BPY2B,42.59
CDY1,41.35
RBMY1J,36.95
RBMY1B,36.99
RBMY1A1,36.98
TSPY4,53.35
TSPY8,53.23
TSPY3,53.26
TSPY1,53.42
TSPY9,53.32
TSPY10,53.34
TSPY2,53.2
LEUTX,41.19
DYRK1B,57.17
FBL,48.26
PSMC4,49.94
ZNF546,39.84
ZNF780B,39.66
ZNF780A,38.52
FCGBP,51.95
FRG2,44.31
FRG1,35.88
DUX4L8,73.25
DUX4,50.28
MUC5AC,61.79
MUC2,63.46
ZSWIM4,53.53
NANOS3,56.97
BRME1,52.62
CC2D1A,53.88
PODNL1,54.14
DCAF15,59.89
RFX1,56.3
RLN3,51.91
IL27RA,51.73
PALM3,57.47
MISP3,67.75
C19orf67,55.97
PRKACA,53.35
ASF1B,50.78
ADGRL1,56.42
SAMD1,67.21
OBP2B,63.87
SURF6,52.81
CNTNAP3C,38.39
MED22,56.87
RPL7A,50.45
SURF1,53.97
RYBP,38.54
SURF2,59.58
SURF4,52.38
MIPEP,39.76
STKLD1,54.49
REXO4,51.72
KPNA3,38.63
HMX1,59.37
CRYL1,44.52
ADAMTS13,55.14
CAB39L,38.37
DNAJC15,38.12
GPR12,44.68
WASF3,39.78
POSTN,32.94
ACR,55.58
SHANK3,57.62
CACFD1,58.04
SLC2A6,61.25
FNDC3A,37.08
ABO,49.6
LHFPL6,39.07
GCGR,65.97
AKAP11,36.45
MZT1,38.81
PROSER1,37.34
MCRIP1,59.8
ERICH6B,44.82
TMPRSS15,35.11
PIBF1,36.99
PPP1R27,61.19
CXADR,39.97
BORA,36.79
IGHV1OR21-1,53.67
KLHL1,34.06
URB1,46.41
GPR20,61.69
SCEL,37.89
PTP4A3,62.4
C8orf90,60.32
MROH5,51.36
KRTAP25-1,41.35
JAM2,39.65
COLEC12,43.13
CLDN17,44.56
FREM2,37.64
KRTAP24-1,42.51
SCAF4,38.15
PRR20B,49.77
TBC1D4,38.11
IMPA2,49.27
PRR20D,49.77
ZKSCAN7,45.82
SPRY2,49.06
PRR20E,49.77
RAB31,43.6
UFM1,33.9
KLF5,38.99
YES1,40.01
NCAM2,34.02
TNK1,57.99
CBY2,45.42
ZNF660,45.57
UBAC2,41.75
ZNF197,40.2
PLSCR3,58.44
CLDN8,37.33
NDUFV2,37.35
HUNK,45.92
RFC3,37.82
C21orf91,37.16
ZNF35,42.6
MPPE1,45.05
POU4F1,51.88
MORC3,42.3
ZNF502,40.62
TMEM256-PLSCR3,53.68
SPATA13,44.13
TMEM256,57.35
NLGN2,59.54
ZNF501,39.42
KIAA1143,41.5
SPEM1,60.28
SPEM2,62.21
KIF15,41.47
SPEM3,55.83
TMEM102,63.96
FGF11,56.8
PAXBP1,38.11
CHRNB1,51.91
NHLRC3,37.72
OLFM4,40.05
PRR20A,49.77
ZBTB4,54.92
SLC35G6,58.2
IPO5,40.27
POLR2A,49.69
CELF4,52.36
EPCIP,43.55
TMEM42,51.92
TGM4,46.73
ITSN1,42.47
ZNF852,42.67
ORAI1,53.15
DIAPH3,35.91
AKAIN1,39.25
SLC14A2,42.88
RALBP1,41.37
SS18,35.21
NAT8,52.06
TPRKB,40.52
TRIM71,45.55
DUSP11,40.22
CNOT10,41.97
CARMIL3,57.82
C2orf78,42.94
NAT8B,55.42
PCDH17,33.32
SERTM1,39.42
SLC7A1,47.44
CPNE6,58.07
SLC15A1,44.52
KPNA7,46.02
ANKRD12,37.33
FOXO1,42
COG3,39.14
NRL,49.83
ARK2N,40.58
C6orf52,41.8
PCK2,49.2
PAK1IP1,40.66
SKA1,39.35
LRCH1,40.02
TMEM14C,47.49
GCNT2,43.51
RPRD1A,38.63
CDADC1,38.43
RIT2,35.68
DIS3,36.46
CTAGE1,38.15
HRH4,42.42
DCAF11,50.99
MAPK4,45.75
ARK2C,49.03
PADI1,53.3
ST8SIA3,41.31
RNF152,42.43
PRR20C,50.22
CCDC68,39.73
PADI3,51.48
SLITRK6,32.58
ZMYM5,42.62
PADI4,49.07
SMAD2,37.52
SOX1,55.75
MYO16,38.48
PADI6,52.07
RPS6KA1,53.51
RCC2,51.69
IRS2,46.75
SPACA7,41.46
RAB27B,37.74
STOML3,38.26
TXNL1,38.58
ANKRD10,40
FITM1,60.83
PSME1,57.43
NALF1,37.44
PCCA,39.84
CTIF,50.34
GAREM1,39.43
ZBTB7C,46.94
TUBGCP3,42.88
EMC9,53.51
PSME2,52.29
BOD1L2,45.49
FBXO15,40.53
GRK1,60.29
OBI1,38.5
CDH7,35.27
UBL3,36.4
MLNR,60.29
FLT3,43.22
ATP5PO,43.23
TPGS2,42.82
FAM216B,37.45
CHODL,37.04
BACH1,39.61
RNF31,52.92
ITM2B,37.65
MC4R,43.29
TMX3,36.04
TRIM13,41.26
ETS2,46.16
KCNRG,37.59
FAM124A,44.28
CDH20,39.06
ZAR1L,42.82
N4BP2L1,43.1
PTPN2,42.19
KCNJ15,41.07
CSNK1A1L,44.64
TMEM272,46.38
RFXAP,38.45
TRPC4,35.08
IRF9,53.69
CRYZL1,41.59
PHLPP1,39.46
CDH19,32.3
REC8,55.21
ITGA9,44.67
C18orf21,41.17
CPB2,39
N6AMT1,38.62
KCTD1,42.61
LCP1,40.21
SAA1,50.35
IPO4,58.1
SLC39A6,39.44
ADAMTS5,38.46
HPS5,39.75
ZBTB14,49
SIAH3,44.65
NALCN,37.99
GALR1,44.37
C2CD2,47.95
ZNF521,38.07
ADRA1D,51.78
IMPACT,38.32
RSPO4,50.89
DEFB129,39.94
ANGPT4,50.62
ZBTB21,42.8
GTF2H1,40.71
SHLD1,43.32
CBLN2,38.33
CCDC168,38.58
TEX30,40.96
SLX4IP,40.51
CBR1,50.62
DEFB125,37.75
BIVM-ERCC5,40.01
BMP2,43.74
CBR3,48.4
ADIPOR2,39.4
FAM110A,51.88
MBP,48.31
EVA1C,46.51
BIVM,40.11
INSM1,63.18
DEFB128,41.31
CACNA2D4,50.45
DEFB126,34.69
BTBD3,38.63
LDHA,43.95
GAS6,57.6
NUDT15,41.13
CFAP298,47.33
MED4,40.77
PCSK2,41.47
SGCG,39.23
IBTK,36.07
RBM26,34.26
ZNF343,43.04
CFAP298-TCP10L,46.17
TM9SF1,50.99
DGKH,38.24
ISM1,44.2
CST5,54.44
TMEM241,45.61
SYNDIG1,46.09
TCP10L,45.39
XRN2,37.21
TSSK4,50.36
BTG3,37.73
CHMP4A,50.64
SNRPB2,38.18
SUMO3,54.29
MDP1,50.75
CST7,56.39
MRPL39,37.94
APMAP,46.35
ELP2,40.54
NEDD8-MDP1,44.5
SUCLA2,40.06
BFSP1,44.74
NEDD8,43.5
SAMSN1,36.33
TPBG,43.53
GMPR2,46.62
GGTLC1,58.02
CST2,56.64
DSTN,39.41
SIM2,51.13
GPR183,38.07
STK35,48.09
ABHD13,35.41
ESD,34.83
SCRT2,56.68
NCOA6,43.48
RIPPLY3,48.79
RRP1B,47.5
HTR2A,39.27
TDRD3,36.41
PDXK,57.26
SPART,39.04
LRTM2,57.8
DEFB127,39.77
SPTLC3,39.89
NXNL2,47.83
DCP1B,38.72
DEFB115,40.99
CD226,39.64
SLC23A2,44.93
STK24,47.42
PIGN,38.03
CST9L,49.64
CACNA1C,47.12
RCBTB2,40.27
TASP1,37.32
WFDC9,39.36
RRP1,57.27
MTCL2,51.51
WFDC10A,48.08
PPP1R16B,47.52
SLITRK1,47.44
IFT88,38.71
TMTC4,44.66
DHX35,41.33
AGPAT3,51.65
EPSTI1,39.57
TOX2,47.56
TNFRSF19,40.19
TRAPPC10,46.02
EYA2,45.44
RAB20,49.73
CARS2,48.05
PWP2,56.89
WFDC11,39.66
DYRK1A,39.17
RIPOR3,51.6
KBTBD6,43.14
KBTBD7,42.19
MTRF1,39.67
FAM83D,46.5
SLC2A10,47.37
KCNB1,47.83
NAA16,37.31
TINF2,53.3
CDH22,51.18
NCOA3,41.15
RGCC,45.68
TGM1,54.94
VWA8,37.16
RABGGTA,57.92
ELP5,51.3
RAP2A,36.13
LPAR6,36.98
PRDM15,51.21
MC3R,56.64
NAXD,50.08
PREX1,50.48
MOCOS,42.78
GJA3,45.61
GJB2,49.38
NETO1,36.85
GJB6,46.22
CNDP2,51.18
ZMYM2,37.61
CLDN7,61.53
PTGIS,46.16
SLC2A4,57.84
CBLN4,44
ATP9A,46.63
DHRS1,47.91
YBX2,58.02
RALY,44.86
NOP9,50.63
EIF5A,55.3
EEF1AKMT1,41.53
CNDP1,46.02
LATS2,45.68
CIDEB,54.84
PKNOX1,46.99
CENPJ,41.37
LTB4R2,55.7
CFAP61,41.33
LTB4R,53.67
TWSG1,38.45
GPS2,56.28
ADCY4,54.43
DOK6,36.19
CBS,59.18
KIAA1328,37.13
SHISA2,50.34
RXFP2,39.17
SLC17A9,61.28
FRY,39.24
NEURL4,57.23
PIAS2,38.59
PSMA7,52.27
MED15,50.5
RIPK3,55.85
RBBP8NL,63.79
CST3,51.65
HDHD2,38.66
GID8,48.76
NFATC4,56.84
U2AF1,43.62
PMEPA1,54.59
PDS5B,36.61
IER3IP1,38.67
SKOR2,40.84
EIF2S2,42.17
TGIF1,43.85
SOX18,70.65
ACAP1,54.55
SETD4,44.84
ACSS1,52
UTP14C,41.96
INTS6,36.13
TAF4B,38.62
KCTD11,60.44
TMEM95,59.61
DOK5,39.92
B4GALT5,42.32
IGLV3-12,56.92
IGLV2-11,58.03
PMAIP1,39.61
DSG4,36.91
OSM,60.33
SALL4,48.04
NCF4,53.4
SLC19A1,56.63
SCP2D1,47.15
BHLHE23,73.85
CDH4,51.8
CCDC70,47.35
GPR18,37.46
DSG3,37.48
MTUS2,40.72
KAT6B,40.71
TTR,42.52
COL18A1,59.66
TNFSF13B,34.84
CDH2,37.17
NDRG3,44.5
SLC16A1,40.76
RNF6,40.13
CACNA1I,56.05
ATP8A2,41.77
RPL17-C18orf32,43.63
RPS21,59.45
SS18L1,55
LIPG,47.91
SACS,40.63
NFATC2,47.94
DYM,38.56
FAM3B,44.37
MEX3C,41.03
TEX29,50.5
KCTD12,43.65
CLN5,38.81
ADAMTS1,45.12
SYCP2,33.52
ISX,47.22
TCF4,37.78
FBXL3,38.36
ENTHD1,38.49
LIF,58.9
SERPINE3,40.64
CBX7,54.25
KBTBD4,48.88
METTL21C,43.81
MIS18A,40.71
ERCC5,39.58
MRAP,46.36
PNPLA3,49.36
FAM180B,58.59
C1QTNF4,59.16
WDR4,53.71
AGBL2,44.9
LAMA5,61.89
PPP2R3B,58.28
EFCAB6,42.97
SLC10A2,39.4
IL17D,52.71
PRKX,45.75
GGACT,45.71
ATP11A,50.37
FNBP4,43.42
VCX2,57.18
NDUFV3,46.83
IL3RA,54.54
GABPA,36.67
MTCH2,43.92
LSM14B,54.16
P2RY8,48.23
TBC1D22A,49.42
SLC25A6,57.28
CYSLTR2,39.08
CLIC6,45.91
AMELX,38.37
PHACTR3,47.63
OXGR1,42.73
TPTE,38.91
COMMD6,39.99
DHRSX,47.11
SHROOM2,47.43
THSD1,43.26
ANOS1,39.59
VPS36,39.35
DHRS4,44.99
ASMTL,52.23
CKAP2,38.86
TCEA2,61.58
SYNJ1,38.08
FAM9B,40.94
DUSP29,47.64
HCCS,42.97
SUGT1,36.99
RPL3,53.41
NLGN4X,38.89
HNRNPA1L2,45.5
DAOA,36.14
CTTN,52.81
GATA5,61.68
ZIC2,56.62
RBL1,43.07
FAM9A,43.22
ZIC5,51.61
LTN1,36.74
LNX2,37.61
RBM11,35.7
RWDD2B,45.41
SRPX,41.48
GSX1,64.26
USP16,38.76
PDX1,58.09
HSPA13,36.7
CCT8,38.32
POLR1D,40.03
PSMG1,40.53
MAP3K7CL,40.73
GRPR,38.75
BEND2,40.11
EDN3,49.21
LIG4,40.58
TMEM47,36.98
PPFIA1,44.98
TRDJ1,45.1
TRDV2,50.74
KLHL34,58.39
SMPX,40.14
TRDD1,25
TRAJ54,50
GTSE1,50.08
TRAJ49,46.43
TRDJ3,55.93
TRDD3,61.54
CLYBL,43.25
TRAJ48,38.1
BRWD1,38.65
TRAJ59,44.44
TRAJ61,43.33
TRDC,43.66
TRAJ58,47.62
TRDJ4,50
TRAJ47,45.61
TRDJ2,46.3
TRAJ56,38.71
ITGBL1,36.42
NUBPL,38.49
ADRM1,64.09
CNKSR2,35.07
SAMM50,47.17
TRDD2,55.56
SUPT20H,35.69
SNX6,44.32
PHF20,44.08
APOB,42.97
TDRD15,35.06
TTC38,54.16
TRAJ53,37.88
TRAJ45,51.52
TRAJ52,46.38
TRDV3,43.77
TRAJ57,46.03
TRIOBP,54.36
RBPJL,54.84
PCNX4,37.99
HMGN1,42.26
CCDC40,50.51
SDC4,49.94
SYS1,49.54
SIX1,50.38
GAA,58.33
EIF4A3,46.23
PPP2R5E,40.18
SYS1-DBNDD2,45.96
TP53TG5,45.13
STX16-NPEPL1,47.7
NPEPL1,56.79
PLCL2,39.06
PIM3,68.65
DENND6B,60.21
NELFCD,48.57
GET1,44.4
GJA10,43.01
CASP8AP2,42.52
CERK,51.43
STYX,38.28
NBEA,35.01
L3HYPDH,42.5
C14orf39,37.01
GET1-SH3BGR,41.92
PPP6R2,51.13
PCP4,43.57
DSCAM,40.93
SIX6,52.71
SYTL5,37.6
SIX4,44.08
TUBB1,44.08
ATP5F1E,39.32
PPM1A,36.08
SETDB2,37.45
PRELID3B,40.51
PHF11,41.72
CENATAC,45.88
CCDC175,39.18
BACE2,45.56
GDF5,48.34
C20orf173,49.91
DHRS7,39.65
RBM12,39.8
RPS25,47.62
ADGRG2,42.96
FITM2,49.34
RIPK4,53.49
TTPAL,46.57
RCBTB1,42.22
PCNX1,36.87
SKA3,39.77
TRAPPC4,48.86
SERINC3,42.52
TFF2,53.52
TFF1,53.78
TMPRSS3,50.64
MRPL57,49.86
MICU2,38.29
PKIG,44.32
FGF9,42.92
ALG5,39.39
HYOU1,54.02
RTL6,56.01
TLDC2,50.21
PVALB,51.49
OSER1,40.48
JPH2,47.95
GPHB5,44.24
EXOSC8,36.54
DDX51,60.46
UBASH3A,49.32
MNAT1,36.62
SRSF6,42.3
SYNGR1,55.76
IFT52,44.5
NOC4L,63.76
MYBL2,49.88
CCDC177,62.23
PDGFB,58.15
ADARB2,47.83
DCAF4,48.93
GTSF1L,48.63
KLF6,48.08
CST9,50
SIRPB1,43.93
MPPED1,52.28
ATP5F1C,40.09
ENOX1,39.04
GALNT9,58.49
OTOR,41.74
PKDREJ,47.55
SRXN1,52.1
DTD1,43.1
ANKRD54,50.74
CCDC122,36.49
RSPH1,46
LACC1,36.87
OSBPL2,52.75
SLC37A1,48.79
LAMP1,50.64
JKAMP,36.78
GRTP1,52.02
ITIH2,43.41
DCUN1D2,44.89
PDE9A,51.29
TSPO,57.74
TMCO3,48.37
RHOJ,40.34
SOCS4,37.83
TFDP1,53.33
CCDC3,43.73
KCNH5,36.79
VPS11,48.94
KIN,39.94
ADPRHL1,55.43
SHISAL1,53.42
AQP4,40.01
SUSD6,44.82
ACBD7,45.19
RPP38,43.41
ZC3H13,34.9
ZNRF3,45.29
ITIH5,43.72
NEK5,41.01
EGLN3,41.68
ONECUT2,44.28
R3HDML,48.32
YTHDF1,49.23
SLC37A4,55.14
NARS1,42.81
XYLT1,45.92
BIRC7,64.27
XPO4,38.5
SPTSSA,41.75
MYCBP2,35.75
PLEKHD1,48.42
NKAIN4,59.79
MRC1,39.22
LTBP2,51.68
RFPL3,47.75
ATP8B1,43.04
ARFGAP1,59.73
RAI2,45.61
RTCB,41.29
RTP1,50.84
RTP4,42.42
MPHOSPH8,43.32
CTPS2,43.51
CUBN,39.49
MASP1,45.03
ALPK2,44.38
PSPC1,40.29
WDFY2,39.68
YWHAH,44.89
PTPRM,40.1
DHRS12,47.25
ASPHD2,49.47
SRRD,45.15
ISCA2,45.27
S100G,42.32
TFIP11,44.89
PCP4,43.57
TRDMT1,36.91
H2AP,47.95
DSCAM,40.93
RP2,39.26
SPATA7,37.9
TPTE2,38.84
MBTPS2,38.5
SLC46A3,40.19
MAGEB17,57.53
C13orf46,55.33
FAM47B,53.49
SCML2,39.56
ISLR,61.05
RASA3,56.87
POMP,39.28
STRA6,55.21
CRYBB1,48.38
TNFSF11,41.03
CRYBA4,47.38
MINDY3,35.88
EFHC2,39.92
L3MBTL4,39.96
TPP2,37.71
C1QTNF6,50.65
MED14,38.86
CHRNA4,63.44
SSTR3,58.85
TMEM131,39.3
ARMC3,38.55
TMPRSS6,55.26
ALG11,41.02
ST8SIA5,47.59
FAHD2B,48.77
ANKRD36,36
NUP58,37.64
AP5M1,35.15
ARHGAP28,39.1
MKKS,38.18
COX5B,50.22
ACTR1B,58.52
CHST7,44.77
PTK6,61.64
SLC35F4,39.44
C2orf92,45.08
FNDC11,61.91
CLCN5,39.57
PDRG1,49.33
N4BP2L2,39.02
PCDHA1,40.15
BMP4,53.91
PCDHA2,40.11
PCDHA3,40.07
XKR7,51.79
PCDHA4,40.01
PCDHA5,40.23
PCDHA6,40.2
PCDHA7,40.11
CCM2L,50.16
PCDHA8,40.02
PCDHA9,39.95
PCDHA10,39.83
PCDHA11,39.64
PCDHA12,39.53
ANKRD36B,35.77
PLAGL2,48.45
PIP4K2A,41.89
PCDHA13,39.36
TRAJ50,45
PCDHAC2,41.75
PCDHB1,39.96
PCDHAC1,39.43
MAPRE1,44.38
RELCH,34.66
ZAP70,55.11
SRSF5,43.68
PCDHB2,48.32
PROCR,42.85
PCDHB4,45.69
PCDHB5,49.68
MAGEB10,47.35
PCDHB6,50.26
MMP24OS,47.16
PCDHB7,47.54
PCDHB8,53.93
HBP1,37.95
PCDHB16,47.47
SPECC1L,42.29
ITIH6,44.09
PCDHB9,46.34
PCDHB10,48.47
PCDHB11,48.56
PCDHB12,45.88
C10orf67,40.21
PCDHB13,47.07
PCDHB14,45.82
MMP24,49.13
PCDHB15,47.92
C1QTNF9,47.14
PCDHB3,49.63
PTCHD1,41.17
MALRD1,36.03
LRRC63,36.65
SYAP1,43.75
FAM83C,58.12
PCDH20,44.43
SAP18,43.39
MTMR8,38.96
ST8SIA6,40.76
DSN1,44.84
MKX,40.22
CCDC33,53.63
ATP12A,49.27
FUT8,37.41
CDKL5,40.21
ZNF532,43.34
GDF2,51.65
COG5,37.1
ODAD2,38.33
RNF17,37.97
CYP11A1,47.58
SPECC1L-ADORA2A,44.7
ADORA2A,59.24
SEMA7A,57.81
UPB1,49.88
ARHGEF7,44.55
C18orf32,43.19
ZBTB46,54.15
GPR22,30.77
ITGA8,39.98
APCDD1,46.21
DUS4L,37.87
GDAP1L1,50.27
SNRPD3,45.46
NAPG,39.33
UBL7,47.95
SIK1,56.04
OR4M2,44.09
OR4N4,47.15
POTEB,36.36
SLC39A12,39.18
NIPA1,47.57
LRRC75B,60.52
CYFIP1,48.85
HSF2BP,43.01
GOLGA6L1,51.65
NAA30,37.29
MYL9,58.6
GOLGA8DP,53.15
BCAP29,36.13
CLEC14A,57.35
H2BC12L,59.53
TGIF2,51.95
CFAP47,35.12
DNMT3L,57
GGT1,53.35
SOCS6,39.07
MAGEL2,64.16
NDN,66.16
TGIF2-RAB5IF,49.63
SNRPD1,42.25
ZFAND4,37.95
SLA2,50.42
GOLGA6L6,50.85
ABHD3,42.44
RGS6,41.91
POTEB2,36.5
MRPS26,60.25
AIRE,63.87
OXT,71.94
AVP,67.96
FAM236B,59.3
POTEB3,37.78
NDP,42.21
UBOX5,47.04
KDSR,42.04
YY2,45.82
OR4M2B,41.79
OR4N4C,45.51
DYNLT3,37.43
PFKL,63.48
DDRGK1,54.35
MYO3A,37.6
AKAP4,41.49
ITPA,50.89
VPS4B,39.19
LIAT1,49.85
ADAMTSL3,39.81
VPS53,45.86
MAOB,39.31
SH3GL3,40.8
SERPINB5,41.7
ZSCAN2,48.03
COX4I2,52.29
WDR73,48.66
VSIG4,40.15
BCL2,42.74
TPX2,41.52
ANKRD62,36.41
NMB,56.33
MSRB2,42.98
CFAP410,60.43
PTF1A,60.5
CIDEA,49.12
PRTFDC1,41.87
RNF135,46.14
OMG,38.22
EVI2B,37.08
CDK8,37.47
JADE3,40.39
LRRC3,61.15
TSPEAR,50.12
TUBB6,45.6
ENKUR,38.61
CTIF,50.3
DNAJC1,37.73
FOXR2,40.92
KRTAP10-1,66.34
KRTAP10-2,66.23
MYLK2,54.43
KRTAP10-3,65.01
SLC9A7,41.06
KRTAP10-5,65.91
KRTAP10-6,65.43
KRTAP10-7,63.43
KRTAP10-8,65.87
KRTAP10-10,64.18
KRTAP10-11,62.41
KRTAP12-4,65.32
KRTAP12-3,63.66
KRTAP12-2,60.49
KRTAP12-1,60.37
UBE2G2,44.85
PHYHIPL,35.15
TAFA5,54.36
CFAP97D2,46.33
FOXS1,64.13
BCL2L1,48.2
CDC16,41.32
RBP3,55.02
MAPK1,43.44
MAGEH1,47.5
DGKK,41.04
FAM210A,40.65
PTTG1IP,51
KIZ,41.17
ARHGAP12,36.94
POFUT2,52.95
RNMT,39.02
PIR,38.99
MTMR3,40.64
RFLNB,51.83
OVOL2,46.79
PTPN21,41.39
EDA2R,39.73
MGME1,42.67
PET117,45.15
EMILIN2,47.46
LAMP5,42.77
SYNDIG1L,50.06
CYSLTR1,38.17
PCBP3,46.92
TMX1,36.89
UPF3A,47.57
MYL12A,38.81
PSMF1,45.44
ATP6AP2,41.77
SEL1L2,40.66
SNPH,50.5
CHAMP1,42.87
MYL12B,40.74
RTRAF,36.67
NDFIP2,35.46
SDCBP2,50.39
DSC3,36.17
UBE2D1,36.06
GDF10,52.96
AKAP6,37.92
ZNF33B,40.2
DSC1,35.2
TMPRSS2,49.1
SIRPB2,44.05
SIRPD,39.95
DSG1,35.8
NRP1,41.34
DOCK9,41.78
SNX21,52.48
PSMA8,37.99
SSTR1,54.26
CEP128,36.62
MYO18B,45.93
ZNF558,44.38
ZSWIM3,46.55
PLTP,51.86
MBD3L1,45.28
MUC16,46.32
PPP4R1,39.14
PCIF1,53.8
MX1,47.98
ARMH4,40.15
ZNF335,53.48
RCL1,42.81
NRDE2,44.1
HSF1,56.87
MMP9,56.94
NFATC1,56.87
FKBP1A,45.46
HSPH1,36.81
COL3A1,33.8
CCDC85C,56.1
SLC16A2,43.59
BRD10,37.76
DGAT1,63.02
MX2,49.7
SLC4A11,61.73
MAGED2,52.36
PLXDC2,37.34
CNTLN,36.43
MOK,46.51
LCA5L,41.22
SGSM3,47.84
TMEM215,39.49
KLF8,38.82
DMRTA1,37.6
MRLN,41.5
HAUS6,39.6
SCRT1,66.53
JCAD,44.39
TMEM249,64.5
NECAB3,59.54
XAGE2,37.84
SPAG6,38.39
FBXL6,66.45
FGF16,47.37
SLC5A11,45.51
CPXCR1,35.62
OR4F4,41.7
ATP5PF,41.96
B3GLCT,41.07
PSIP1,37.86
ZDHHC20,41.14
HDAC8,40.05
ADCK5,57.52
MBNL2,40.24
MORC2,45.25
MARCHF8,40.34
DKK1,43.33
SPATC1L,50.77
LSS,53.33
CPSF1,59.96
KIF5B,37.57
PSMC1,44.78
F7,61.36
CCDC102B,35.05
C20orf144,59.16
E2F1,55.49
INPP5D,48.78
ATG2B,37.06
APTX,42.02
F10,48.54
PXMP4,49.46
DGCR6,59.31
LAMA3,42.46
CHMP4B,46.39
IGHV3-23,51.21
EIF6,52.05
RPS6KA5,38.79
PROZ,50.83
ARHGAP17,44.36
DNAL4,51.3
NMT2,43.09
FTCD,58.83
RAB40C,56.81
CBX6,58.27
PCID2,43.4
SLC39A4,61.99
PCNA,42.54
APOBEC3B,53.12
CDS2,44.8
NHLRC4,64.39
GET4,59.75
IGHV4-34,55.69
AK7,44.18
VPS28,63.25
APOBEC3C,52.56
CCAR1,41.75
PROKR2,46.21
GOLGA5,39.58
HLCS,44.31
ATG16L1,45.33
SNX5,42.13
FAM234A,53.16
APOBEC3F,53.18
INTS1,63.53
KCNE1,43.71
APOBEC3G,54.63
COL6A1,64.66
TMEM260,39.13
TAB1,51.35
COMMD7,48.05
RADIL,53.13
MGAT3,57.01
PAK5,39.34
OLIG2,58.86
MIEF1,49.85
CUL4A,45.97
OLIG1,64.8
SLC52A2,60.43
TFF3,54.29
MEOX2,34.82
PIGG,49.98
GNRH2,57.71
BDKRB1,46.82
POTED,38.06
IGHV3-38,52.17
BANF2,47.87
CDCA4,51.91
FAM20C,60
CCDC171,37.42
IGHV4-28,55.82
IGHV3-21,52.17
CTSZ,53.07
IGHV3-64D,50.22
UMODL1,52.21
MEF2D,54.21
IGHV3-35,50.32
IGHV3-15,50.56
FOXK1,52.09
IQGAP3,50.86
LGMN,47.28
TTC24,53.95
UPRT,39.9
RPS19BP1,54.54
HAPLN2,54.26
GPATCH4,48.5
OR8J2,35.12
